name;offset;size;description;bitfield
..femr;2502;1;;1
..aemn;2507;5;;1
...ces;2512;16;;0
.re;2512;1;;1
..bt;2518;1;;1
..bd;2519;1;;1
..rnr;2520;1;;1
..rtt;2524;1;;1
..anfes;2525;1;;1
...ues;2528;32;;0
.te;2528;1;;1
..dlpe;2532;1;;1
..sde;2533;1;;1
..pt;2540;1;;1
..fcpe;2541;1;;1
..ct;2542;1;;1
..ca;2543;1;;1
..uc;2544;1;;1
..ro;2545;1;;1
..mt;2546;1;;1
..ee;2547;1;;1
..ure;2548;1;;1
..avs;2549;1;;1
..ptlpebs;2554;1;;1
...esid;2560;32;;0
.ecsid;2560;16;;1
..efnfsid;2576;16;;1
.....port1.cfg.res;2832;16;;0
.cr;2832;1;;1
..mcr;2833;1;;1
..enr;2834;1;;1
..menr;2835;1;;1
..fuf;2836;1;;1
..nfemr;2837;1;;1
..femr;2838;1;;1
..aemn;2843;5;;1
...ces;2848;16;;0
.re;2848;1;;1
..bt;2854;1;;1
..bd;2855;1;;1
..rnr;2856;1;;1
..rtt;2860;1;;1
..anfes;2861;1;;1
...ues;2864;32;;0
.te;2864;1;;1
..dlpe;2868;1;;1
..sde;2869;1;;1
..pt;2876;1;;1
..fcpe;2877;1;;1
..ct;2878;1;;1
..ca;2879;1;;1
..uc;2880;1;;1
..ro;2881;1;;1
..mt;2882;1;;1
..ee;2883;1;;1
..ure;2884;1;;1
..avs;2885;1;;1
..ptlpebs;2890;1;;1
...esid;2896;32;;0
.ecsid;2896;16;;1
..efnfsid;2912;16;;1
.....port2.cfg.res;3168;16;;0
.cr;3168;1;;1
..mcr;3169;1;;1
..enr;3170;1;;1
..menr;3171;1;;1
..fuf;3172;1;;1
..nfemr;3173;1;;1
..femr;3174;1;;1
..aemn;3179;5;;1
...ces;3184;16;;0
.re;3184;1;;1
..bt;3190;1;;1
..bd;3191;1;;1
..rnr;3192;1;;1
..rtt;3196;1;;1
..anfes;3197;1;;1
...ues;3200;32;;0
.te;3200;1;;1
..dlpe;3204;1;;1
..sde;3205;1;;1
..pt;3212;1;;1
..fcpe;3213;1;;1
..ct;3214;1;;1
..ca;3215;1;;1
..uc;3216;1;;1
..ro;3217;1;;1
..mt;3218;1;;1
..ee;3219;1;;1
..ure;3220;1;;1
..avs;3221;1;;1
..ptlpebs;3226;1;;1
...esid;3232;32;;0
.ecsid;3232;16;;1
..efnfsid;3248;16;;1
.....port3.cfg.res;3504;16;;0
.cr;3504;1;;1
..mcr;3505;1;;1
..enr;3506;1;;1
..menr;3507;1;;1
..fuf;3508;1;;1
..nfemr;3509;1;;1
..femr;3510;1;;1
..aemn;3515;5;;1
...ces;3520;16;;0
.re;3520;1;;1
..bt;3526;1;;1
..bd;3527;1;;1
..rnr;3528;1;;1
..rtt;3532;1;;1
..anfes;3533;1;;1
...ues;3536;32;;0
.te;3536;1;;1
..dlpe;3540;1;;1
..sde;3541;1;;1
..pt;3548;1;;1
..fcpe;3549;1;;1
..ct;3550;1;;1
..ca;3551;1;;1
..uc;3552;1;;1
..ro;3553;1;;1
..mt;3554;1;;1
..ee;3555;1;;1
..ure;3556;1;;1
..avs;3557;1;;1
..ptlpebs;3562;1;;1
...esid;3568;32;;0
.ecsid;3568;16;;1
..efnfsid;3584;16;;1
pmc.pcie1.port0.cfg.res;3840;16;;0
.cr;3840;1;;1
..mcr;3841;1;;1
..enr;3842;1;;1
..menr;3843;1;;1
..fuf;3844;1;;1
..nfemr;3845;1;;1
..femr;3846;1;;1
..aemn;3851;5;;1
...ces;3856;16;;0
.re;3856;1;;1
..bt;3862;1;;1
..bd;3863;1;;1
..rnr;3864;1;;1
..rtt;3868;1;;1
..anfes;3869;1;;1
...ues;3872;32;;0
.te;3872;1;;1
..dlpe;3876;1;;1
..sde;3877;1;;1
..pt;3884;1;;1
..fcpe;3885;1;;1
..ct;3886;1;;1
..ca;3887;1;;1
..uc;3888;1;;1
..ro;3889;1;;1
..mt;3890;1;;1
..ee;3891;1;;1
..ure;3892;1;;1
..avs;3893;1;;1
..ptlpebs;3898;1;;1
...esid;3904;32;;0
.ecsid;3904;16;;1
..efnfsid;3920;16;;1
.....port1.cfg.res;4176;16;;0
.cr;4176;1;;1
..mcr;4177;1;;1
..enr;4178;1;;1
..menr;4179;1;;1
..fuf;4180;1;;1
..nfemr;4181;1;;1
..femr;4182;1;;1
..aemn;4187;5;;1
...ces;4192;16;;0
.re;4192;1;;1
..bt;4198;1;;1
..bd;4199;1;;1
..rnr;4200;1;;1
..rtt;4204;1;;1
..anfes;4205;1;;1
...ues;4208;32;;0
.te;4208;1;;1
..dlpe;4212;1;;1
..sde;4213;1;;1
..pt;4220;1;;1
..fcpe;4221;1;;1
..ct;4222;1;;1
..ca;4223;1;;1
..uc;4224;1;;1
..ro;4225;1;;1
..mt;4226;1;;1
..ee;4227;1;;1
..ure;4228;1;;1
..avs;4229;1;;1
..ptlpebs;4234;1;;1
...esid;4240;32;;0
.ecsid;4240;16;;1
..efnfsid;4256;16;;1
.....port2.cfg.res;4512;16;;0
.cr;4512;1;;1
..mcr;4513;1;;1
..enr;4514;1;;1
..menr;4515;1;;1
..fuf;4516;1;;1
..nfemr;4517;1;;1
..femr;4518;1;;1
..aemn;4523;5;;1
...ces;4528;16;;0
.re;4528;1;;1
..bt;4534;1;;1
..bd;4535;1;;1
..rnr;4536;1;;1
..rtt;4540;1;;1
..anfes;4541;1;;1
...ues;4544;32;;0
.te;4544;1;;1
..dlpe;4548;1;;1
..sde;4549;1;;1
..pt;4556;1;;1
..fcpe;4557;1;;1
..ct;4558;1;;1
..ca;4559;1;;1
..uc;4560;1;;1
..ro;4561;1;;1
..mt;4562;1;;1
..ee;4563;1;;1
..ure;4564;1;;1
..avs;4565;1;;1
..ptlpebs;4570;1;;1
...esid;4576;32;;0
.ecsid;4576;16;;1
..efnfsid;4592;16;;1
.....port3.cfg.res;4848;16;;0
.cr;4848;1;;1
..mcr;4849;1;;1
..enr;4850;1;;1
..menr;4851;1;;1
..fuf;4852;1;;1
..nfemr;4853;1;;1
..femr;4854;1;;1
..aemn;4859;5;;1
...ces;4864;16;;0
.re;4864;1;;1
..bt;4870;1;;1
..bd;4871;1;;1
..rnr;4872;1;;1
..rtt;4876;1;;1
..anfes;4877;1;;1
...ues;4880;32;;0
.te;4880;1;;1
..dlpe;4884;1;;1
..sde;4885;1;;1
..pt;4892;1;;1
..fcpe;4893;1;;1
..ct;4894;1;;1
..ca;4895;1;;1
..uc;4896;1;;1
..ro;4897;1;;1
..mt;4898;1;;1
..ee;4899;1;;1
..ure;4900;1;;1
..avs;4901;1;;1
..ptlpebs;4906;1;;1
...esid;4912;32;;0
.ecsid;4912;16;;1
..efnfsid;4928;16;;1
pmc.pcie2.port0.cfg.res;5184;16;;0
.cr;5184;1;;1
..mcr;5185;1;;1
..enr;5186;1;;1
..menr;5187;1;;1
..fuf;5188;1;;1
..nfemr;5189;1;;1
..femr;5190;1;;1
..aemn;5195;5;;1
...ces;5200;16;;0
.re;5200;1;;1
..bt;5206;1;;1
..bd;5207;1;;1
..rnr;5208;1;;1
..rtt;5212;1;;1
..anfes;5213;1;;1
...ues;5216;32;;0
.te;5216;1;;1
..dlpe;5220;1;;1
..sde;5221;1;;1
..pt;5228;1;;1
..fcpe;5229;1;;1
..ct;5230;1;;1
..ca;5231;1;;1
..uc;5232;1;;1
..ro;5233;1;;1
..mt;5234;1;;1
..ee;5235;1;;1
..ure;5236;1;;1
..avs;5237;1;;1
..ptlpebs;5242;1;;1
...esid;5248;32;;0
.ecsid;5248;16;;1
..efnfsid;5264;16;;1
.....port1.cfg.res;5520;16;;0
.cr;5520;1;;1
..mcr;5521;1;;1
..enr;5522;1;;1
..menr;5523;1;;1
..fuf;5524;1;;1
..nfemr;5525;1;;1
..femr;5526;1;;1
..aemn;5531;5;;1
...ces;5536;16;;0
.re;5536;1;;1
..bt;5542;1;;1
..bd;5543;1;;1
..rnr;5544;1;;1
..rtt;5548;1;;1
..anfes;5549;1;;1
...ues;5552;32;;0
.te;5552;1;;1
..dlpe;5556;1;;1
..sde;5557;1;;1
..pt;5564;1;;1
..fcpe;5565;1;;1
..ct;5566;1;;1
..ca;5567;1;;1
..uc;5568;1;;1
..ro;5569;1;;1
..mt;5570;1;;1
..ee;5571;1;;1
..ure;5572;1;;1
..avs;5573;1;;1
..ptlpebs;5578;1;;1
...esid;5584;32;;0
.ecsid;5584;16;;1
..efnfsid;5600;16;;1
.....port2.cfg.res;5856;16;;0
.cr;5856;1;;1
..mcr;5857;1;;1
..enr;5858;1;;1
..menr;5859;1;;1
..fuf;5860;1;;1
..nfemr;5861;1;;1
