name;offset;size;description;bitfield
..req_type;4423;7;;1
..addr_51_6;4430;36;;1
...entry70;4480;64;;0
.valid;4480;1;;1
..fsm_state;4481;6;;1
..req_type;4487;7;;1
..addr_51_6;4494;36;;1
...entry71;4544;64;;0
.valid;4544;1;;1
..fsm_state;4545;6;;1
..req_type;4551;7;;1
..addr_51_6;4558;36;;1
...entry72;4608;64;;0
.valid;4608;1;;1
..fsm_state;4609;6;;1
..req_type;4615;7;;1
..addr_51_6;4622;36;;1
...entry73;4672;64;;0
.valid;4672;1;;1
..fsm_state;4673;6;;1
..req_type;4679;7;;1
..addr_51_6;4686;36;;1
...entry74;4736;64;;0
.valid;4736;1;;1
..fsm_state;4737;6;;1
..req_type;4743;7;;1
..addr_51_6;4750;36;;1
...entry75;4800;64;;0
.valid;4800;1;;1
..fsm_state;4801;6;;1
..req_type;4807;7;;1
..addr_51_6;4814;36;;1
...entry76;4864;64;;0
.valid;4864;1;;1
..fsm_state;4865;6;;1
..req_type;4871;7;;1
..addr_51_6;4878;36;;1
...entry77;4928;64;;0
.valid;4928;1;;1
..fsm_state;4929;6;;1
..req_type;4935;7;;1
..addr_51_6;4942;36;;1
...entry78;4992;64;;0
.valid;4992;1;;1
..fsm_state;4993;6;;1
..req_type;4999;7;;1
..addr_51_6;5006;36;;1
...entry79;5056;64;;0
.valid;5056;1;;1
..fsm_state;5057;6;;1
..req_type;5063;7;;1
..addr_51_6;5070;36;;1
...sq_checksum;5120;64;;0
